växthusgas	sektor	år	Totala utsläpp av växthusgaser
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2002	1527.3
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2003	1593.4
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2004	1755.8
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2005	1761.2
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2006	1740.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2007	1727.2
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2008	1773.2
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2009	1723.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2010	1739.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2011	1654.8
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2012	1700.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2013	1692.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2014	1712.4
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2015	1686.1
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2016	1709.0
Totala Växthusgaser (kt CO2-ekv.)	LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT	2017	1694.1
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1990	9302.2
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1991	9106.5
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1992	8345.6
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1993	8310.6
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1994	8310.0
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1995	7925.5
Totala Växthusgaser (kt CO2-ekv.)	UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT	1996	7990.6
